sale_id,store_id,region,product_name,category,quantity,unit_price,sale_date,customer_age_group
63,Store_005,North,Soda,Beverages,10,1.99,2024-02-20,26-35
64,Store_025,South,Chicken,Meat,17,8.99,2023-03-23,26-35
65,Store_004,East,Banana,Produce,17,0.29,2024-03-01,56+
66,Store_031,West,Banana,Produce,6,0.29,2023-05-19,
67,Store_028,East,Croissant,Bakery,19,1.99,2024-10-04,26-35
68,Store_049,West,Juice,Beverages,10,3.49,2023-02-21,18-25
69,Store_031,South,Chicken,Meat,20,8.99,2023-03-19,26-35
70,Store_045,South,Juice,Beverages,20,3.49,2024-07-02,26-35
71,Store_040,West,Bagel,Bakery,6,0.99,2024-11-04,46-55
72,Store_050,North,Salmon,Seafood,19,14.99,2024-09-26,46-55
73,Store_041,Central,Yogurt,Dairy,20,2.49,2023-02-06,46-55
74,Store_021,North,Orange,Produce,3,0.89,2024-05-27,26-35
75,Store_021,Central,Orange,Produce,20,0.89,2023-07-28,46-55
76,Store_025,West,Juice,Beverages,19,3.49,2023-03-05,36-45
77,Store_023,North,Soda,Beverages,4,1.99,2023-12-17,36-45
78,Store_037,West,Shrimp,Seafood,17,11.99,2024-08-31,18-25
79,Store_042,West,Chicken,Meat,13,8.99,2024-07-27,18-25
80,Store_018,East,Banana,Produce,9,0.29,2023-11-18,56+
81,Store_012,Central,Shrimp,Seafood,15,11.99,2024-05-30,36-45
82,Store_017,South,Pork,Meat,20,7.99,2023-09-23,26-35
83,Store_048,West,Soda,Beverages,17,1.99,2024-11-06,18-25
84,Store_021,North,Banana,Produce,1,0.29,2024-04-23,46-55
85,Store_009,South,Soda,Beverages,7,1.99,2024-05-15,46-55
86,Store_026,East,Juice,Beverages,13,3.49,2024-07-08,56+
87,Store_039,East,Pasta,Pantry,2,1.49,2024-02-01,26-35
88,Store_048,South,Pasta,Pantry,12,1.49,2023-03-20,36-45
89,Store_034,South,Tuna,Seafood,5,9.99,2024-07-29,18-25
90,Store_010,Central,Croissant,Bakery,19,1.99,2024-03-02,36-45
91,Store_034,North,Tuna,Seafood,11,9.99,2023-02-08,
92,Store_022,East,Beef,Meat,18,12.99,2024-06-06,36-45
93,Store_049,East,Water,Beverages,9,0.99,2023-09-14,18-25
94,Store_014,West,Soda,Beverages,6,1.99,2024-10-09,18-25
95,Store_031,Central,Apple,Produce,3,0.79,2023-11-04,18-25
96,Store_024,East,Bread,Bakery,10,2.99,2023-11-08,56+
97,Store_039,West,Croissant,Bakery,4,1.99,2023-09-09,
98,Store_035,East,Salmon,Seafood,11,14.99,2023-06-26,18-25
99,Store_003,Central,Cereal,Pantry,7,4.49,2023-01-09,46-55
100,Store_035,South,Cheese,Dairy,7,5.99,2023-05-29,
101,Store_029,West,Milk,Dairy,14,3.99,2023-06-02,46-55
102,Store_003,East,Apple,Produce,8,0.79,2023-03-22,56+
103,Store_039,East,Bagel,Bakery,20,0.99,2024-11-15,36-45
104,Store_007,North,Apple,Produce,5,0.79,2024-02-02,18-25
105,Store_001,West,Apple,Produce,13,0.79,2023-07-11,36-45
106,Store_038,South,Milk,Dairy,15,3.99,2024-09-15,26-35
107,Store_001,North,Croissant,Bakery,1,1.99,2024-07-30,36-45
108,Store_005,Central,Apple,Produce,13,0.79,2023-11-23,56+
109,Store_005,East,Pork,Meat,20,7.99,2023-12-15,18-25
110,Store_039,Central,Croissant,Bakery,7,1.99,2024-01-29,
111,Store_005,Central,Juice,Beverages,8,3.49,2024-09-27,56+
112,Store_037,East,Beef,Meat,8,12.99,2024-04-21,36-45
113,Store_038,East,Pork,Meat,9,7.99,2024-07-05,36-45
114,Store_032,East,Cheese,Dairy,5,5.99,2024-08-01,56+
115,Store_029,East,Soda,Beverages,4,1.99,2024-05-19,26-35
116,Store_028,North,Orange,Produce,2,0.89,2023-12-07,
117,Store_016,Central,Orange,Produce,7,0.89,2023-12-14,26-35
118,Store_033,Central,Croissant,Bakery,11,1.99,2024-05-07,46-55
119,Store_009,East,Soda,Beverages,9,1.99,2023-11-18,56+
120,Store_003,Central,Tuna,Seafood,19,9.99,2023-09-17,26-35
121,Store_019,West,Juice,Beverages,17,3.49,2024-12-09,26-35
122,Store_003,East,Orange,Produce,20,0.89,2024-11-07,18-25
123,Store_007,East,Apple,Produce,1,0.79,2023-09-26,36-45
124,Store_026,Central,Milk,Dairy,16,3.99,2024-01-05,46-55
125,Store_026,West,Juice,Beverages,10,3.49,2024-08-24,26-35
126,Store_043,Central,Croissant,Bakery,6,1.99,2024-08-21,56+
127,Store_007,West,Milk,Dairy,17,3.99,2023-07-20,26-35
128,Store_050,Central,Apple,Produce,12,0.79,2023-12-04,46-55
129,Store_011,North,Beef,Meat,3,12.99,2023-02-17,18-25
130,Store_022,East,Pork,Meat,18,7.99,2024-10-27,26-35
131,Store_017,North,Water,Beverages,9,0.99,2024-03-03,36-45
132,Store_022,South,Banana,Produce,19,0.29,2024-03-29,46-55
133,Store_031,West,Milk,Dairy,13,3.99,2024-10-15,26-35
134,Store_032,Central,Yogurt,Dairy,12,2.49,2024-01-26,18-25
135,Store_005,Central,Milk,Dairy,16,3.99,2023-12-15,26-35
136,Store_046,Central,Orange,Produce,19,0.89,2023-12-21,46-55
137,Store_001,Central,Croissant,Bakery,5,1.99,2024-07-28,36-45
138,Store_037,South,Cheese,Dairy,17,5.99,2023-12-25,56+
139,Store_049,East,Bagel,Bakery,17,0.99,2023-02-07,46-55
140,Store_004,South,Orange,Produce,8,0.89,2023-03-16,56+
141,Store_025,Central,Pork,Meat,1,7.99,2024-04-07,26-35
142,Store_016,East,Pork,Meat,17,7.99,2023-02-20,56+
143,Store_025,Central,Milk,Dairy,13,3.99,2024-02-06,36-45
144,Store_033,North,Pasta,Pantry,16,1.49,2023-08-16,56+
145,Store_018,Central,Chicken,Meat,4,8.99,2024-01-23,56+
146,Store_038,South,Orange,Produce,2,0.89,2024-08-01,46-55
147,Store_018,North,Apple,Produce,16,0.79,2023-08-12,26-35
148,Store_022,East,Juice,Beverages,17,3.49,2023-04-13,26-35
149,Store_043,South,Chicken,Meat,16,8.99,2023-09-19,18-25
150,Store_037,South,Bread,Bakery,9,2.99,2024-10-02,36-45
151,Store_022,East,Pork,Meat,18,7.99,2024-02-11,56+
152,Store_009,North,Pork,Meat,16,7.99,2023-02-20,36-45
153,Store_014,East,Bagel,Bakery,14,0.99,2023-08-03,18-25
154,Store_033,Central,Pasta,Pantry,11,1.49,2023-08-12,18-25
155,Store_042,North,Bread,Bakery,4,2.99,2024-01-02,26-35
156,Store_021,North,Milk,Dairy,13,3.99,2023-04-29,18-25
157,Store_021,West,Cheese,Dairy,9,5.99,2023-06-05,46-55
158,Store_006,East,Shrimp,Seafood,12,11.99,2023-03-21,46-55
159,Store_017,South,Milk,Dairy,9,3.99,2023-06-05,
160,Store_029,East,Milk,Dairy,7,3.99,2023-03-12,46-55
161,Store_032,West,Salmon,Seafood,14,14.99,2024-05-28,56+
162,Store_009,Central,Salmon,Seafood,3,14.99,2023-07-19,18-25
163,Store_046,South,Banana,Produce,10,0.29,2023-06-17,18-25
164,Store_019,North,Banana,Produce,2,0.29,2024-01-16,46-55
165,Store_027,East,Juice,Beverages,12,3.49,2023-04-24,36-45
166,Store_048,East,Pasta,Pantry,1,1.49,2024-06-27,36-45
167,Store_045,South,Banana,Produce,15,0.29,2023-05-03,46-55
168,Store_018,Central,Rice,Pantry,1,2.99,2024-06-14,
169,Store_025,South,Apple,Produce,18,0.79,2024-12-11,18-25
170,Store_003,North,Milk,Dairy,15,3.99,2024-08-15,46-55
171,Store_038,Central,Croissant,Bakery,8,1.99,2023-08-20,36-45
172,Store_037,North,Cereal,Pantry,3,4.49,2023-02-04,46-55
173,Store_021,North,Rice,Pantry,13,2.99,2024-08-31,56+
174,Store_003,East,Pasta,Pantry,13,1.49,2024-02-24,26-35
175,Store_015,Central,Croissant,Bakery,7,1.99,2023-05-01,36-45
176,Store_043,Central,Cheese,Dairy,1,5.99,2024-03-13,18-25
177,Store_019,West,Yogurt,Dairy,8,2.49,2023-02-21,36-45
178,Store_042,South,Water,Beverages,2,0.99,2024-08-08,36-45
179,Store_012,West,Tuna,Seafood,3,9.99,2024-10-07,
180,Store_011,Central,Bagel,Bakery,5,0.99,2024-01-07,26-35
181,Store_050,Central,Salmon,Seafood,2,14.99,2023-05-28,18-25
182,Store_003,Central,Banana,Produce,14,0.29,2024-01-30,56+
183,Store_033,West,Pork,Meat,11,7.99,2024-08-29,26-35
184,Store_047,Central,Soda,Beverages,20,1.99,2023-07-17,36-45
185,Store_015,East,Salmon,Seafood,15,14.99,2023-11-05,18-25
186,Store_024,Central,Cereal,Pantry,11,4.49,2023-05-18,56+
187,Store_050,West,Cereal,Pantry,7,4.49,2023-03-30,18-25
188,Store_037,North,Rice,Pantry,18,2.99,2023-12-22,36-45
189,Store_044,North,Bread,Bakery,9,2.99,2024-04-16,36-45
190,Store_050,West,Orange,Produce,14,0.89,2023-06-05,56+
191,Store_047,Central,Pasta,Pantry,18,1.49,2024-07-13,46-55
192,Store_049,East,Bread,Bakery,13,2.99,2024-10-27,46-55
193,Store_018,South,Salmon,Seafood,7,14.99,2023-06-07,56+
194,Store_049,East,Tuna,Seafood,11,9.99,2023-07-07,36-45
195,Store_035,South,Chicken,Meat,12,8.99,2024-09-22,18-25
196,Store_004,West,Beef,Meat,19,12.99,2023-02-24,56+
197,Store_023,Central,Juice,Beverages,18,,2023-01-16,36-45
198,Store_028,Central,Pasta,Pantry,6,1.49,2024-12-02,26-35
199,Store_003,South,Cereal,Pantry,13,4.49,2024-11-30,18-25
200,Store_022,East,Bagel,Bakery,6,0.99,2024-08-14,36-45
201,Store_023,South,Pork,Meat,11,7.99,2023-08-22,46-55
202,Store_028,East,Apple,Produce,12,0.79,2023-06-15,46-55
203,Store_029,South,Tuna,Seafood,6,9.99,2023-12-12,46-55
204,Store_007,South,Bread,Bakery,2,2.99,2024-06-09,26-35
205,Store_005,East,Water,Beverages,18,0.99,2023-08-10,26-35
206,Store_017,East,Chicken,Meat,16,8.99,2023-12-29,
207,Store_049,West,Cheese,Dairy,14,5.99,2023-03-20,46-55
208,Store_045,East,Yogurt,Dairy,7,2.49,2023-05-23,18-25
209,Store_007,East,Beef,Meat,2,12.99,2024-08-13,36-45
210,Store_036,Central,Bagel,Bakery,9,0.99,2023-04-15,56+
211,Store_040,North,Water,Beverages,18,0.99,2023-04-26,46-55
212,Store_009,East,Soda,Beverages,2,1.99,2023-03-13,18-25
213,Store_022,North,Bread,Bakery,11,2.99,2023-09-01,46-55
214,Store_012,Central,Croissant,Bakery,4,1.99,2024-07-04,46-55
215,Store_020,North,Pasta,Pantry,8,1.49,2023-06-02,36-45
216,Store_002,South,Soda,Beverages,1,1.99,2024-10-21,
217,Store_006,South,Soda,Beverages,4,1.99,2024-10-10,18-25
218,Store_016,West,Milk,Dairy,14,3.99,2024-03-14,18-25
219,Store_047,Central,Rice,Pantry,3,2.99,2024-03-03,36-45
220,Store_049,South,Beef,Meat,14,12.99,2024-08-08,18-25
221,Store_040,Central,Tuna,Seafood,16,9.99,2023-11-24,
222,Store_045,East,Water,Beverages,6,0.99,2024-11-14,18-25
223,Store_018,South,Orange,Produce,18,0.89,2023-05-06,56+
224,Store_046,North,Orange,Produce,19,0.89,2024-03-16,36-45
225,Store_013,East,Pork,Meat,11,7.99,2024-06-18,36-45
226,Store_030,South,Cheese,Dairy,9,5.99,2024-05-25,56+
227,Store_002,North,Banana,Produce,12,0.29,2023-12-31,56+
228,Store_006,Central,Croissant,Bakery,19,1.99,2023-01-19,36-45
229,Store_028,West,Juice,Beverages,13,3.49,2023-07-21,26-35
230,Store_015,Central,Cheese,Dairy,1,5.99,2023-05-22,36-45
231,Store_019,West,Tuna,Seafood,17,9.99,2023-04-04,56+
232,Store_008,Central,Banana,Produce,13,0.29,2023-10-23,46-55
233,Store_007,Central,Pasta,Pantry,8,1.49,2024-10-01,26-35
234,Store_044,West,Croissant,Bakery,5,1.99,2023-02-05,46-55
235,Store_004,South,Apple,Produce,19,0.79,2024-08-15,36-45
236,Store_043,East,Pasta,Pantry,8,1.49,2024-11-24,26-35
237,Store_031,South,Juice,Beverages,12,3.49,2024-07-19,36-45
238,Store_042,Central,Cereal,Pantry,13,4.49,2024-12-17,56+
239,Store_028,South,Tuna,Seafood,9,9.99,2023-02-19,36-45
240,Store_026,South,Chicken,Meat,15,8.99,2023-04-17,36-45
241,Store_049,East,Pasta,Pantry,12,1.49,2024-05-06,56+
242,Store_015,East,Rice,Pantry,3,2.99,2023-06-23,56+
243,Store_020,North,Chicken,Meat,9,8.99,2023-08-02,
244,Store_038,North,Yogurt,Dairy,13,2.49,2024-09-19,18-25
245,Store_011,South,Shrimp,Seafood,8,11.99,2023-11-01,18-25
246,Store_015,Central,Water,Beverages,13,0.99,2023-11-11,56+
247,Store_012,North,Cheese,Dairy,9,5.99,2023-11-26,36-45
248,Store_034,Central,Tuna,Seafood,1,9.99,2023-04-21,36-45
249,Store_035,North,Apple,Produce,10,0.79,2024-03-04,46-55
250,Store_050,West,Salmon,Seafood,7,14.99,2023-10-27,18-25
251,Store_048,North,Chicken,Meat,12,8.99,2024-03-15,36-45
252,Store_001,North,Salmon,Seafood,15,14.99,2023-11-17,18-25
253,Store_003,East,Water,Beverages,12,0.99,2024-10-29,46-55
254,Store_039,Central,Beef,Meat,10,12.99,2024-12-28,56+
255,Store_038,East,Milk,Dairy,15,3.99,2024-01-09,18-25
256,Store_036,North,Bagel,Bakery,17,0.99,2023-05-01,56+
257,Store_028,Central,Chicken,Meat,12,8.99,2023-05-08,36-45
258,Store_006,West,Salmon,Seafood,20,14.99,2023-06-10,26-35
259,Store_034,East,Salmon,Seafood,19,14.99,2024-12-11,36-45
260,Store_041,Central,Rice,Pantry,17,2.99,2024-01-08,36-45
261,Store_041,East,Orange,Produce,18,0.89,2023-09-24,26-35
262,Store_038,West,Bread,Bakery,8,2.99,2023-07-26,18-25
263,Store_011,West,Yogurt,Dairy,10,2.49,2023-12-07,
264,Store_037,East,Bread,Bakery,9,2.99,2023-05-04,26-35
265,Store_031,West,Shrimp,Seafood,6,11.99,2023-10-19,26-35
266,Store_049,North,Salmon,Seafood,13,14.99,2024-04-22,36-45
267,Store_014,West,Chicken,Meat,6,8.99,2024-01-09,
268,Store_020,East,Pasta,Pantry,12,1.49,2024-09-20,18-25
269,Store_011,Central,Rice,Pantry,7,2.99,2024-04-19,26-35
270,Store_049,West,Pasta,Pantry,6,1.49,2023-04-20,36-45
271,Store_033,East,Croissant,Bakery,4,1.99,2023-06-18,
272,Store_019,Central,Cereal,Pantry,3,,2024-02-08,18-25
273,Store_028,South,Pork,Meat,16,7.99,2024-07-10,56+
274,Store_031,Central,Salmon,Seafood,6,14.99,2024-11-30,46-55
275,Store_038,Central,Rice,Pantry,19,2.99,2024-07-05,26-35
276,Store_001,West,Pasta,Pantry,8,,2024-06-14,36-45
277,Store_037,East,Bread,Bakery,20,2.99,2024-10-18,26-35
278,Store_038,North,Tuna,Seafood,14,9.99,2024-10-08,
279,Store_043,East,Cereal,Pantry,4,4.49,2023-04-29,56+
280,Store_014,Central,Cereal,Pantry,19,4.49,2024-09-05,36-45
281,Store_031,South,Beef,Meat,20,12.99,2023-08-21,26-35
282,Store_007,East,Water,Beverages,2,0.99,2024-08-08,26-35
283,Store_024,East,Cheese,Dairy,3,5.99,2024-04-18,18-25
284,Store_026,North,Water,Beverages,7,0.99,2024-02-02,56+
285,Store_045,North,Salmon,Seafood,18,14.99,2023-08-05,46-55
286,Store_007,West,Pork,Meat,9,7.99,2024-10-28,56+
287,Store_021,Central,Banana,Produce,10,0.29,2023-10-29,56+
288,Store_043,East,Water,Beverages,12,0.99,2024-12-17,36-45
289,Store_019,North,Chicken,Meat,18,8.99,2024-08-09,36-45
290,Store_028,East,Yogurt,Dairy,16,2.49,2024-06-30,46-55
291,Store_018,North,Orange,Produce,15,0.89,2024-03-22,18-25
292,Store_026,South,Chicken,Meat,20,8.99,2023-04-07,46-55
293,Store_029,East,Pork,Meat,9,7.99,2024-08-02,56+
294,Store_004,North,Rice,Pantry,15,2.99,2023-07-13,46-55
295,Store_012,North,Cheese,Dairy,13,5.99,2024-08-22,46-55
296,Store_008,South,Salmon,Seafood,8,14.99,2023-02-11,46-55
297,Store_004,East,Salmon,Seafood,6,14.99,2023-03-03,36-45
298,Store_018,West,Pasta,Pantry,11,1.49,2023-03-12,26-35
299,Store_023,West,Chicken,Meat,1,8.99,2024-04-25,36-45
300,Store_020,North,Croissant,Bakery,14,1.99,2024-12-31,18-25
301,Store_014,East,Pork,Meat,12,7.99,2023-03-12,56+
302,Store_046,East,Banana,Produce,12,0.29,2024-12-29,26-35
303,Store_044,East,Chicken,Meat,17,8.99,2024-08-22,46-55
304,Store_041,North,Banana,Produce,15,0.29,2024-01-22,26-35
305,Store_005,East,Beef,Meat,20,12.99,2023-08-17,56+
306,Store_046,East,Soda,Beverages,19,1.99,2024-11-10,26-35
307,Store_026,Central,Rice,Pantry,15,2.99,2023-09-12,18-25
308,Store_034,Central,Juice,Beverages,3,,2024-12-26,
309,Store_033,West,Water,Beverages,4,0.99,2024-10-11,46-55
310,Store_018,East,Yogurt,Dairy,9,2.49,2024-11-07,18-25
311,Store_049,East,Yogurt,Dairy,5,2.49,2023-12-30,56+
312,Store_032,East,Milk,Dairy,4,3.99,2024-01-02,18-25
313,Store_029,Central,Orange,Produce,1,0.89,2023-09-12,46-55
314,Store_049,Central,Milk,Dairy,7,3.99,2023-08-05,56+
315,Store_015,West,Pork,Meat,16,7.99,2023-08-06,46-55
316,Store_036,East,Chicken,Meat,3,8.99,2024-03-16,18-25
317,Store_004,West,Bread,Bakery,15,2.99,2023-04-19,18-25
318,Store_012,East,Beef,Meat,6,12.99,2023-06-26,26-35
319,Store_040,East,Water,Beverages,6,0.99,2023-11-07,18-25
320,Store_039,South,Pasta,Pantry,9,1.49,2023-12-20,56+
321,Store_017,South,Banana,Produce,4,0.29,2023-11-25,26-35
322,Store_025,East,Chicken,Meat,15,8.99,2024-07-29,56+
323,Store_013,South,Cereal,Pantry,13,4.49,2023-08-24,36-45
324,Store_021,East,Bread,Bakery,13,2.99,2023-12-02,26-35
325,Store_033,North,Bagel,Bakery,13,0.99,2024-06-11,18-25
326,Store_010,South,Water,Beverages,5,0.99,2024-11-22,46-55
327,Store_016,South,Shrimp,Seafood,3,11.99,2023-05-14,46-55
328,Store_042,North,Juice,Beverages,20,3.49,2024-06-19,46-55
329,Store_040,East,Salmon,Seafood,8,14.99,2024-12-22,36-45
330,Store_006,North,Juice,Beverages,5,3.49,2024-01-27,36-45
331,Store_033,South,Bread,Bakery,13,2.99,2023-03-04,56+
332,Store_048,South,Salmon,Seafood,7,14.99,2024-09-29,26-35
333,Store_004,West,Rice,Pantry,18,2.99,2024-01-24,26-35
334,Store_027,North,Orange,Produce,11,0.89,2024-01-29,36-45
335,Store_002,West,Pork,Meat,12,7.99,2023-03-12,46-55
336,Store_019,Central,Banana,Produce,12,0.29,2023-12-01,36-45
337,Store_007,Central,Tuna,Seafood,10,9.99,2023-05-03,26-35
338,Store_032,East,Shrimp,Seafood,8,11.99,2024-01-17,18-25
339,Store_002,East,Water,Beverages,15,0.99,2024-01-22,18-25
340,Store_002,West,Beef,Meat,5,12.99,2024-09-28,56+
341,Store_044,North,Water,Beverages,12,0.99,2023-09-03,36-45
342,Store_047,Central,Pasta,Pantry,8,1.49,2024-02-01,26-35
343,Store_002,Central,Tuna,Seafood,16,9.99,2024-12-06,18-25
344,Store_010,North,Pork,Meat,2,7.99,2024-12-14,46-55
345,Store_037,Central,Pasta,Pantry,20,1.49,2024-02-20,18-25
346,Store_027,South,Bread,Bakery,7,2.99,2023-02-22,
347,Store_037,West,Milk,Dairy,10,3.99,2024-03-01,56+
348,Store_026,West,Bread,Bakery,16,2.99,2024-12-27,26-35
349,Store_004,West,Bread,Bakery,11,2.99,2023-02-19,46-55
350,Store_049,West,Juice,Beverages,20,3.49,2024-11-14,46-55
351,Store_033,West,Beef,Meat,9,12.99,2023-01-26,
352,Store_008,South,Apple,Produce,7,0.79,2024-08-14,46-55
353,Store_026,South,Milk,Dairy,16,3.99,2023-03-12,18-25
354,Store_034,West,Tuna,Seafood,4,9.99,2024-05-09,26-35
355,Store_032,Central,Water,Beverages,8,0.99,2023-07-02,18-25
356,Store_033,East,Pasta,Pantry,8,1.49,2023-12-17,
357,Store_013,South,Beef,Meat,1,12.99,2024-04-14,46-55
358,Store_003,East,Milk,Dairy,12,3.99,2024-09-30,26-35
359,Store_037,North,Apple,Produce,17,0.79,2023-09-14,46-55
360,Store_017,Central,Pork,Meat,6,7.99,2023-12-25,18-25
361,Store_021,Central,Beef,Meat,4,12.99,2023-03-21,56+
362,Store_039,East,Orange,Produce,17,0.89,2024-04-07,36-45
363,Store_049,West,Orange,Produce,9,0.89,2024-11-01,18-25
364,Store_014,South,Shrimp,Seafood,6,11.99,2023-07-12,36-45
365,Store_048,Central,Croissant,Bakery,18,1.99,2023-11-02,36-45
366,Store_010,East,Beef,Meat,3,12.99,2023-06-06,56+
367,Store_036,East,Bagel,Bakery,7,0.99,2024-04-15,46-55
368,Store_017,West,Yogurt,Dairy,12,2.49,2023-11-12,36-45
369,Store_050,East,Chicken,Meat,16,8.99,2023-10-31,36-45
370,Store_044,South,Shrimp,Seafood,8,11.99,2024-09-14,46-55
371,Store_029,South,Beef,Meat,11,12.99,2023-03-25,46-55
372,Store_003,North,Milk,Dairy,14,3.99,2023-06-19,56+
373,Store_036,West,Pork,Meat,11,7.99,2024-01-02,56+
374,Store_047,East,Chicken,Meat,5,8.99,2023-10-19,
375,Store_024,West,Yogurt,Dairy,3,2.49,2024-12-20,56+
376,Store_020,East,Rice,Pantry,9,2.99,2024-05-17,26-35
377,Store_039,Central,Pork,Meat,15,7.99,2023-02-15,56+
378,Store_050,South,Chicken,Meat,9,8.99,2024-12-04,46-55
379,Store_037,South,Bagel,Bakery,16,0.99,2023-11-01,18-25
380,Store_008,South,Pasta,Pantry,14,1.49,2023-01-26,36-45
381,Store_029,East,Apple,Produce,13,0.79,2024-05-19,46-55
382,Store_011,Central,Bread,Bakery,11,2.99,2024-01-21,36-45
383,Store_012,East,Pasta,Pantry,1,1.49,2023-12-24,56+
384,Store_009,West,Soda,Beverages,1,1.99,2024-08-28,18-25
385,Store_042,Central,Banana,Produce,9,0.29,2024-03-29,18-25
386,Store_007,West,Bread,Bakery,7,2.99,2024-08-06,36-45
387,Store_034,West,Cereal,Pantry,13,4.49,2024-01-01,56+
388,Store_002,South,Beef,Meat,7,12.99,2023-05-02,56+
389,Store_036,North,Chicken,Meat,17,8.99,2023-08-24,36-45
390,Store_021,Central,Cereal,Pantry,4,4.49,2024-02-24,46-55
391,Store_007,East,Juice,Beverages,4,3.49,2024-11-29,18-25
392,Store_032,South,Pork,Meat,15,7.99,2023-07-23,36-45
393,Store_041,East,Bagel,Bakery,15,0.99,2023-09-10,36-45
394,Store_038,North,Orange,Produce,15,0.89,2023-11-18,46-55
395,Store_047,West,Tuna,Seafood,17,9.99,2024-12-06,
396,Store_024,West,Salmon,Seafood,20,14.99,2023-10-05,18-25
397,Store_017,South,Beef,Meat,17,12.99,2023-10-20,18-25
