track_id,track_name,artist,album,genre,duration_ms,popularity,danceability,energy,tempo,release_date,streams
TRK00040,Silent Memories,Taylor Swift,Album 15,R&B,242575,31,0.854,0.221,77.4,2016-08-31,29198296
TRK00041,Endless Love,Doja Cat,Album 1,Pop,219941,94,0.655,0.268,128.6,2021-07-15,12240347
TRK00042,Dark Echoes,Olivia Rodrigo,Album 35,Rock,236388,23,0.429,0.356,179.9,2024-03-15,37822607
TRK00043,Lost Shadows,SZA,Album 8,Country,128235,16,0.087,0.129,183.4,2018-12-07,31387128
TRK00044,Silent Shadows,Ariana Grande,Album 33,Hip-Hop,280795,20,0.984,0.754,110.8,2020-06-13,45436070
TRK00045,Endless Hearts,Olivia Rodrigo,Album 5,Country,305234,4,0.115,0.118,98.1,2021-01-28,7842345
TRK00046,Dark Memories,SZA,Album 46,Rock,338170,17,0.995,0.86,76.0,2024-06-26,17806336
TRK00047,Midnight Hearts,Kendrick Lamar,Album 34,Electronic,190320,74,0.382,0.609,87.4,2024-10-07,3716534
TRK00048,Dark Nights,Harry Styles,Album 24,Latin,171974,49,0.716,0.727,81.4,2024-08-27,18008253
TRK00049,Neon Rain,Drake,Album 30,Rock,248829,63,0.735,0.9,69.1,2019-04-21,25849865
TRK00050,Electric Nights,Travis Scott,Album 49,Hip-Hop,184474,20,0.827,0.377,89.9,2018-01-20,2761089
TRK00051,Midnight Nights,Imagine Dragons,Album 13,Country,271723,66,0.27,0.845,100.6,2024-06-02,49482858
TRK00052,Wild Shadows,Drake,Album 14,R&B,126999,69,0.064,0.694,161.6,2016-12-28,46269511
TRK00053,Silent Shadows,Doja Cat,Album 12,Country,173508,10,0.695,0.899,68.1,2024-01-27,40977998
TRK00054,Dark Shadows,Coldplay,Album 34,Rock,167057,67,0.451,0.034,180.6,2024-09-28,37704329
TRK00055,Wild Echoes,Post Malone,Album 39,Electronic,288639,90,0.18,0.931,137.1,2024-01-19,22648402
TRK00056,Wild Love,Ed Sheeran,Album 12,Country,251310,1,0.472,0.357,67.4,2015-05-29,18783079
TRK00057,Endless Hearts,Ariana Grande,Album 1,Pop,191802,10,0.093,0.761,193.7,2018-10-13,4664944
TRK00058,Bright Rain,Maroon 5,Album 27,Latin,342275,43,0.46,0.822,167.8,2023-01-25,48537712
TRK00059,Silent Hearts,Dua Lipa,Album 47,Rock,332051,9,0.928,0.989,60.5,2023-03-15,28924307
TRK00060,Neon Shadows,Olivia Rodrigo,Album 47,Country,319178,6,0.997,0.741,93.0,2017-10-24,41043248
TRK00061,Silent Dreams,Coldplay,Album 26,Hip-Hop,229350,94,0.252,0.058,60.2,2016-10-01,29088282
TRK00062,Neon Love,BTS,Album 28,Indie,222482,38,0.023,0.16,193.9,2022-08-12,1942981
TRK00063,Neon Echoes,Coldplay,Album 3,Electronic,307487,47,0.095,0.142,66.7,2018-03-13,11245888
TRK00064,Silent Stars,Coldplay,Album 9,Rock,177515,91,0.393,0.036,159.5,2019-11-30,17004800
TRK00065,Midnight Love,Drake,Album 8,Country,316172,21,0.314,0.541,131.1,2023-02-23,46574860
TRK00066,Midnight Stars,Olivia Rodrigo,Album 5,Rock,197257,52,0.452,0.466,158.6,2019-02-08,24892486
TRK00067,Wild Hearts,Drake,Album 34,Pop,292014,94,0.097,0.645,122.3,2021-07-17,3860702
TRK00068,Midnight Echoes,Billie Eilish,Album 32,R&B,359557,4,0.145,0.004,133.9,2015-02-28,41858464
TRK00069,Silent Memories,Kendrick Lamar,Album 9,Rock,177883,52,0.477,0.554,148.8,2016-12-07,18782299
TRK00070,Wild Nights,Olivia Rodrigo,Album 32,Latin,199942,7,0.654,0.853,108.0,2021-01-19,32565488
TRK00071,Bright Love,Post Malone,Album 11,Latin,315696,77,0.649,0.424,70.5,2020-05-19,42557093
TRK00072,Wild Stars,Coldplay,Album 44,Latin,293593,1,0.318,0.152,85.9,2018-12-26,22746027
TRK00073,Wild Hearts,Ed Sheeran,Album 42,Country,318027,46,0.069,0.825,90.6,2021-09-23,19007255
TRK00074,Wild Stars,Doja Cat,Album 30,Country,260194,25,0.365,0.129,61.3,2023-04-18,46678862
TRK00075,Wild Hearts,Maroon 5,Album 25,R&B,340469,37,0.508,0.615,155.0,2023-12-21,21198013
TRK00076,Golden Fire,Coldplay,Album 4,Country,236259,28,0.935,0.937,123.4,2024-05-23,35876002
TRK00077,Bright Shadows,Taylor Swift,Album 12,Latin,203633,80,0.066,0.699,66.0,2019-01-24,16235624
TRK00078,Wild Hearts,Doja Cat,Album 29,Electronic,328276,68,0.145,0.058,66.1,2023-08-02,40446016
TRK00079,Electric Nights,Taylor Swift,Album 32,Pop,234554,100,0.865,0.888,192.8,2022-10-18,15540908
TRK00080,Midnight Echoes,Travis Scott,Album 42,Latin,144783,9,0.181,0.236,138.1,2020-12-25,35559616
TRK00081,Silent Shadows,Maroon 5,Album 3,Electronic,181919,98,0.924,0.999,137.6,2019-08-18,206489
TRK00082,Endless Stars,Billie Eilish,Album 43,Country,177372,49,0.071,0.235,119.8,2018-01-10,40339703
TRK00083,Dark Hearts,Kendrick Lamar,Album 39,Latin,309360,77,0.995,0.751,109.1,2017-11-06,32712464
TRK00084,Dark Hearts,Drake,Album 47,Hip-Hop,268992,18,0.454,0.342,68.3,2016-12-30,44070400
TRK00085,Wild Fire,Taylor Swift,Album 23,Electronic,205122,23,0.365,0.389,149.5,2021-04-15,35169823
TRK00086,Neon Love,Drake,Album 37,Electronic,181492,28,0.49,0.504,165.3,2017-01-18,16763353
TRK00087,Dark Rain,Post Malone,Album 12,Electronic,296740,48,0.1,0.361,66.5,2023-10-06,27683349
TRK00088,Dark Echoes,Post Malone,Album 32,Electronic,170237,66,0.04,0.524,173.6,2020-10-06,570930
TRK00089,Golden Echoes,Olivia Rodrigo,Album 49,R&B,245043,35,0.927,0.733,180.9,2023-01-07,42196061
TRK00090,Lost Hearts,Taylor Swift,Album 25,Electronic,200724,46,0.351,0.097,152.3,2020-06-20,19372266
TRK00091,Electric Dreams,Travis Scott,Album 5,Hip-Hop,122372,0,0.818,0.985,178.8,2017-06-01,42513146
TRK00092,Electric Shadows,Doja Cat,Album 22,R&B,147079,56,0.309,0.87,131.9,2022-09-01,46715553
TRK00093,Wild Hearts,Coldplay,Album 17,Latin,216531,3,0.713,0.718,105.1,2016-01-29,37773377
TRK00094,Dark Echoes,Ariana Grande,Album 47,Electronic,274121,66,0.472,0.441,122.9,2018-07-16,49096570
TRK00095,Wild Stars,Billie Eilish,Album 30,Indie,191438,30,0.513,0.782,162.6,2018-02-03,21302324
TRK00096,Silent Stars,Ed Sheeran,Album 12,Rock,286175,10,0.457,0.066,126.2,2019-08-05,35558653
TRK00097,Neon Stars,Doja Cat,Album 45,Pop,217572,7,0.051,0.678,154.6,2016-09-03,6154800
TRK00098,Neon Love,Ariana Grande,Album 12,Electronic,210169,51,0.689,0.637,128.9,2019-04-27,41340010
TRK00099,Bright Rain,Doja Cat,Album 10,Country,261197,14,0.15,0.898,187.5,2020-12-17,35843854
TRK00100,Golden Shadows,Dua Lipa,Album 22,Latin,206367,50,0.807,0.201,139.7,2020-06-16,38243862
TRK00101,Wild Shadows,The Weeknd,Album 6,Hip-Hop,178937,13,0.342,0.917,69.2,2022-04-07,43977945
TRK00102,Bright Rain,Post Malone,Album 19,R&B,198386,16,0.317,0.959,113.8,2023-08-05,18103137
TRK00103,Midnight Rain,Travis Scott,Album 26,Pop,211500,71,0.886,0.112,103.8,2020-08-03,13723586
TRK00104,Midnight Rain,Kendrick Lamar,Album 47,Electronic,251598,66,0.19,0.042,100.9,2024-01-24,35562922
TRK00105,Neon Stars,BTS,Album 34,R&B,121660,7,0.244,0.022,75.6,2016-08-25,47087617
TRK00106,Neon Echoes,Olivia Rodrigo,Album 12,Country,306893,58,0.161,0.459,152.0,2016-05-09,8344674
TRK00107,Lost Fire,BTS,Album 41,Latin,357549,51,0.045,0.854,180.1,2017-09-25,41400842
TRK00108,Neon Shadows,Olivia Rodrigo,Album 41,Indie,136988,64,0.133,0.758,165.9,2019-05-06,31176357
TRK00109,Bright Nights,BTS,Album 33,Rock,330680,57,0.736,0.773,152.4,2022-10-25,14812920
TRK00110,Endless Rain,Drake,Album 6,Latin,133781,94,0.666,0.703,99.3,2017-11-08,33510219
TRK00111,Electric Dreams,SZA,Album 44,Electronic,162546,48,0.27,0.634,88.6,2015-05-27,42809249
TRK00112,Electric Dreams,Dua Lipa,Album 48,Electronic,231677,87,0.147,0.399,66.2,2019-10-12,46081984
TRK00113,Dark Rain,Maroon 5,Album 36,Hip-Hop,248726,13,0.846,0.027,170.2,2020-05-24,1486312
TRK00114,Endless Rain,Bad Bunny,Album 16,Latin,275819,62,0.917,0.312,169.6,2023-08-01,33445095
TRK00115,Midnight Echoes,Coldplay,Album 50,Indie,131596,49,0.379,0.513,135.3,2021-10-07,23635701
TRK00116,Endless Echoes,Olivia Rodrigo,Album 40,Electronic,234891,11,0.851,0.721,67.2,2021-09-18,40137747
TRK00117,Lost Rain,Dua Lipa,Album 26,Pop,282667,90,0.256,0.285,174.0,2017-10-17,42917787
TRK00118,Wild Echoes,The Weeknd,Album 10,Country,147372,52,0.543,0.07,103.3,2024-07-08,42968213
TRK00119,Neon Rain,Doja Cat,Album 33,R&B,305025,96,0.183,0.878,102.3,2023-01-20,48114050
TRK00120,Silent Dreams,Coldplay,Album 21,Country,156383,18,0.241,0.984,73.7,2019-12-04,8327584
TRK00121,Endless Dreams,Post Malone,Album 2,Country,257749,29,0.867,0.944,127.0,2019-10-01,1449607
TRK00122,Neon Memories,Dua Lipa,Album 36,Rock,198568,37,0.206,0.611,99.6,2017-08-23,36687500
TRK00123,Wild Love,Kendrick Lamar,Album 28,Country,277284,1,0.593,0.978,122.3,2019-07-15,42365370
TRK00124,Golden Nights,Post Malone,Album 21,Electronic,257445,87,0.081,0.071,122.6,2016-03-10,18468921
TRK00125,Wild Echoes,Taylor Swift,Album 30,Rock,248214,63,0.936,0.733,95.4,2023-09-11,37835329
TRK00126,Bright Hearts,Billie Eilish,Album 19,Pop,297563,7,0.553,0.477,72.9,2022-10-24,39401685
TRK00127,Wild Memories,Olivia Rodrigo,Album 24,R&B,305291,0,0.098,0.66,196.8,2018-11-20,19485240
TRK00128,Bright Dreams,Taylor Swift,Album 44,Electronic,228356,78,0.984,0.587,191.4,2015-09-21,18115409
TRK00129,Neon Fire,Billie Eilish,Album 17,Electronic,349417,53,0.121,0.034,169.3,2019-12-28,30925429
TRK00130,Electric Memories,Coldplay,Album 2,Pop,217328,46,0.014,0.592,66.1,2016-01-02,22187227
TRK00131,Dark Nights,Drake,Album 5,Electronic,135282,97,0.86,0.129,89.4,2024-10-13,38504320
TRK00132,Neon Fire,Coldplay,Album 43,Pop,261357,9,0.293,0.187,189.4,2021-08-06,31176491
TRK00133,Silent Hearts,Ed Sheeran,Album 26,Electronic,297063,58,0.527,0.912,151.7,2024-12-28,42156044
TRK00134,Bright Memories,BTS,Album 5,Pop,247830,63,0.433,0.272,168.6,2015-02-27,20217001
TRK00135,Lost Love,Harry Styles,Album 18,Pop,258111,49,0.441,0.116,70.6,2015-04-21,26395917
TRK00136,Midnight Love,Drake,Album 36,Pop,195174,97,0.485,0.829,195.3,2019-05-24,830886
TRK00137,Golden Nights,Kendrick Lamar,Album 3,Country,219838,64,0.174,0.402,177.8,2020-11-01,46353778
TRK00138,Golden Shadows,Billie Eilish,Album 28,R&B,267650,51,0.127,0.921,172.8,2024-07-18,31714567
TRK00139,Golden Memories,Ariana Grande,Album 34,Indie,276659,3,0.675,0.732,114.0,2015-02-01,36185778
TRK00140,Silent Shadows,Ed Sheeran,Album 46,Indie,261672,62,0.141,0.33,101.4,2023-11-30,2008530
TRK00141,Endless Fire,Harry Styles,Album 15,Country,199026,75,0.331,0.501,180.3,2017-08-12,30804878
TRK00142,Bright Rain,Kendrick Lamar,Album 26,Hip-Hop,160842,50,0.433,0.819,140.8,2022-03-28,6777237
TRK00143,Wild Shadows,Coldplay,Album 18,Hip-Hop,146676,82,0.47,0.097,173.6,2016-08-11,14714213
TRK00144,Dark Stars,SZA,Album 5,Electronic,160475,95,0.131,0.762,98.5,2017-01-11,42796532
TRK00145,Neon Memories,Post Malone,Album 25,Hip-Hop,224697,62,0.556,0.529,170.5,2021-05-10,11788275
TRK00146,Silent Hearts,Travis Scott,Album 33,Country,183790,17,0.731,0.519,181.5,2020-04-17,41166450
TRK00147,Neon Love,Olivia Rodrigo,Album 22,Country,125299,94,0.071,0.456,67.6,2022-11-22,36326151
TRK00148,Electric Hearts,Harry Styles,Album 16,Pop,319176,53,0.841,0.058,64.2,2020-01-09,7981672
TRK00149,Endless Echoes,Bad Bunny,Album 36,Latin,181367,36,0.824,0.595,112.7,2024-07-26,19085450
TRK00150,Lost Rain,Drake,Album 46,Indie,325438,53,0.088,0.61,198.1,2023-09-26,18125627
TRK00151,Neon Fire,Ed Sheeran,Album 19,Indie,328204,42,0.063,0.58,117.5,2020-04-24,39512591
TRK00152,Silent Dreams,Coldplay,Album 23,Pop,311930,65,0.69,0.168,164.4,2022-08-11,5772494
TRK00153,Midnight Nights,BTS,Album 29,Electronic,152597,10,0.114,0.775,140.5,2018-07-18,44394286
TRK00154,Wild Nights,Dua Lipa,Album 21,Latin,184123,50,0.111,0.554,63.4,2024-10-30,35790310
TRK00155,Endless Rain,Olivia Rodrigo,Album 42,Hip-Hop,275351,49,0.865,0.753,79.3,2017-05-10,46092729
TRK00156,Neon Fire,Ariana Grande,Album 3,Country,249913,44,0.168,0.358,179.5,2021-06-28,45316624
TRK00157,Dark Dreams,Olivia Rodrigo,Album 40,Electronic,350311,58,0.238,0.592,188.8,2017-12-06,45443670
TRK00158,Bright Dreams,Kendrick Lamar,Album 40,Hip-Hop,341801,1,0.094,0.798,162.9,2016-07-20,22395564
TRK00159,Bright Rain,Dua Lipa,Album 49,Pop,142053,91,0.501,0.533,127.5,2016-10-31,2178802
TRK00160,Electric Fire,Bad Bunny,Album 12,Latin,175538,6,0.179,0.481,136.8,2019-08-03,25147945
TRK00161,Dark Memories,Ariana Grande,Album 50,Pop,233080,54,0.471,0.222,64.5,2018-09-09,3811217
TRK00162,Midnight Rain,Maroon 5,Album 48,Pop,180257,14,0.2,0.698,64.3,2022-12-06,21223383
TRK00163,Dark Echoes,Taylor Swift,Album 31,R&B,354463,27,0.848,0.92,170.5,2023-09-06,42703931
TRK00164,Electric Memories,Post Malone,Album 11,Country,351819,83,0.15,0.22,69.5,2019-12-19,49268052
TRK00165,Dark Echoes,The Weeknd,Album 33,R&B,267488,22,0.193,0.692,94.4,2022-01-17,44786094
TRK00166,Electric Love,BTS,Album 37,Latin,157844,56,0.761,0.625,61.0,2016-03-25,47493994
TRK00167,Midnight Hearts,Drake,Album 47,R&B,306276,56,0.976,0.293,77.7,2018-07-08,12212979
TRK00168,Bright Nights,Ed Sheeran,Album 4,Pop,349295,0,0.223,0.67,103.3,2021-05-30,22441883
TRK00169,Electric Fire,Doja Cat,Album 30,Indie,179147,38,0.724,0.314,161.6,2020-08-20,27344969
TRK00170,Wild Hearts,Justin Bieber,Album 19,Electronic,307334,77,0.502,0.571,130.3,2017-09-13,2196680
TRK00171,Neon Nights,The Weeknd,Album 43,Latin,241192,77,0.49,0.173,192.6,2020-09-01,42797566
TRK00172,Electric Memories,Dua Lipa,Album 37,Rock,124439,27,0.907,0.809,108.6,2015-03-29,23079643
TRK00173,Endless Nights,Maroon 5,Album 25,Latin,150162,18,0.873,0.147,196.6,2016-12-04,17429299
TRK00174,Electric Love,Imagine Dragons,Album 5,Hip-Hop,183313,49,0.908,0.18,127.0,2022-03-21,11695791
TRK00175,Lost Shadows,Bad Bunny,Album 35,Electronic,176090,99,0.986,0.685,167.6,2020-04-15,38994598
TRK00176,Lost Hearts,Drake,Album 3,Country,294595,72,0.61,0.84,184.1,2017-03-04,48217886
TRK00177,Dark Shadows,Taylor Swift,Album 6,Latin,261903,98,0.853,0.596,145.1,2015-10-08,47709063
TRK00178,Silent Shadows,Billie Eilish,Album 43,Pop,162989,95,0.139,0.884,105.5,2016-07-11,46782495
TRK00179,Silent Dreams,Drake,Album 17,Country,227791,77,0.567,0.698,153.3,2017-03-19,43904969
TRK00180,Lost Stars,Doja Cat,Album 17,Pop,310598,11,0.753,0.981,147.2,2015-07-18,25214633
TRK00181,Bright Memories,Maroon 5,Album 17,Country,285686,10,0.407,0.689,91.9,2015-05-24,4381485
TRK00182,Neon Shadows,Billie Eilish,Album 21,Hip-Hop,189619,64,0.775,0.712,168.8,2020-01-23,35301516
TRK00183,Endless Echoes,Coldplay,Album 24,Indie,124543,24,0.531,0.362,196.7,2018-07-29,29245898
TRK00184,Lost Stars,Bad Bunny,Album 35,R&B,318135,90,0.716,0.847,167.0,2018-06-06,15750221
TRK00185,Neon Memories,Taylor Swift,Album 39,Latin,241109,60,0.825,0.947,117.7,2023-12-19,40374960
TRK00186,Neon Shadows,Olivia Rodrigo,Album 39,Rock,169700,86,0.413,0.952,89.2,2019-03-12,1382462
TRK00187,Lost Rain,Justin Bieber,Album 14,Indie,352741,80,0.954,0.322,153.3,2023-04-26,19727990
TRK00188,Midnight Hearts,Drake,Album 2,Latin,306212,25,0.428,0.1,147.7,2020-04-08,32415686
TRK00189,Silent Love,Drake,Album 5,Electronic,216605,35,0.747,0.416,62.5,2016-06-02,29987660
TRK00190,Electric Shadows,Drake,Album 2,Hip-Hop,350887,17,0.118,0.098,85.6,2020-07-16,21111889
TRK00191,Lost Shadows,Ed Sheeran,Album 12,Indie,243433,46,0.05,0.705,121.4,2017-05-23,44568124
TRK00192,Golden Nights,Ed Sheeran,Album 26,Indie,202252,83,0.406,0.408,188.1,2022-05-07,4799989
TRK00193,Silent Dreams,The Weeknd,Album 20,Rock,179597,93,0.247,0.141,89.7,2018-09-05,27827762
TRK00194,Lost Stars,Imagine Dragons,Album 31,R&B,251482,76,0.301,0.649,61.1,2016-08-09,35089366
TRK00195,Silent Memories,Taylor Swift,Album 8,R&B,340755,50,0.667,0.899,148.7,2021-11-24,44092171
TRK00196,Midnight Stars,BTS,Album 16,Indie,182467,6,0.062,0.645,165.1,2015-02-01,33454087
TRK00197,Neon Love,SZA,Album 17,Pop,170177,2,0.853,0.48,142.0,2024-08-29,30868997
TRK00198,Dark Stars,SZA,Album 32,Electronic,213593,66,0.806,0.929,62.3,2015-08-16,2428323
TRK00199,Midnight Memories,Ariana Grande,Album 32,Electronic,328991,71,0.746,0.449,96.4,2015-01-22,24111715
TRK00200,Endless Echoes,Drake,Album 49,Electronic,190227,6,0.862,0.281,185.4,2018-06-21,582901
TRK00201,Midnight Echoes,Justin Bieber,Album 25,Indie,199979,36,0.735,0.018,147.8,2021-01-22,44451350
TRK00202,Electric Dreams,Billie Eilish,Album 8,Electronic,272476,13,0.637,0.788,85.0,2017-11-01,31912914
TRK00203,Dark Fire,Coldplay,Album 27,R&B,263755,10,0.534,0.371,164.0,2020-04-26,32256370
TRK00204,Electric Echoes,Taylor Swift,Album 32,Country,140216,71,0.299,0.346,64.2,2020-12-20,21270698
TRK00205,Electric Rain,Post Malone,Album 17,Electronic,203297,97,0.312,0.722,124.2,2020-06-16,49855944
TRK00206,Neon Nights,Olivia Rodrigo,Album 2,Latin,332303,42,0.125,0.455,160.8,2023-07-25,21701038
TRK00207,Lost Dreams,Doja Cat,Album 28,Pop,355434,74,0.2,0.851,122.5,2018-03-11,23716551
TRK00208,Electric Love,Billie Eilish,Album 23,Pop,352812,67,0.754,0.716,163.1,2018-11-27,15431068
TRK00209,Endless Fire,SZA,Album 23,Indie,307454,77,0.708,0.839,146.2,2017-02-17,21399098
TRK00210,Neon Fire,Bad Bunny,Album 34,Rock,183232,49,0.415,0.136,100.0,2021-08-23,31944617
TRK00211,Electric Stars,Travis Scott,Album 28,Hip-Hop,248667,35,0.077,0.926,94.5,2024-05-07,43718599
TRK00212,Golden Hearts,Ariana Grande,Album 26,Electronic,161600,22,0.141,0.186,193.2,2020-04-12,31277467
TRK00213,Golden Stars,Doja Cat,Album 42,Country,194108,2,0.865,0.874,130.5,2022-06-10,14766525
TRK00214,Wild Nights,Post Malone,Album 37,Indie,245294,98,0.25,0.24,118.0,2023-04-12,4334512
TRK00215,Bright Nights,Coldplay,Album 20,Indie,309108,25,0.907,0.829,145.0,2024-08-28,9855447
TRK00216,Bright Memories,Olivia Rodrigo,Album 6,Hip-Hop,293981,32,0.303,0.873,109.1,2017-09-16,39861476
TRK00217,Wild Hearts,Coldplay,Album 30,R&B,128828,18,0.315,0.933,186.6,2019-01-18,15492209
TRK00218,Endless Rain,Olivia Rodrigo,Album 32,Hip-Hop,248970,43,0.531,0.511,105.1,2019-10-12,4746262
TRK00219,Midnight Dreams,Harry Styles,Album 50,Hip-Hop,163291,22,0.823,0.646,141.1,2023-07-14,28868300
TRK00220,Wild Fire,Dua Lipa,Album 45,Latin,316547,70,0.249,0.057,149.8,2019-12-26,15010200
TRK00221,Neon Stars,Travis Scott,Album 13,R&B,143689,89,0.474,0.265,182.1,2021-10-19,8102450
TRK00222,Endless Echoes,Harry Styles,Album 15,Hip-Hop,346667,9,0.267,0.762,189.6,2021-10-03,39020972
TRK00223,Endless Stars,The Weeknd,Album 40,Rock,172757,80,0.465,0.492,178.9,2019-06-25,38166847
TRK00224,Silent Love,Ariana Grande,Album 36,Country,351302,40,0.968,0.179,60.4,2024-04-28,5280134
TRK00225,Midnight Rain,Dua Lipa,Album 50,R&B,243510,43,0.727,0.35,65.8,2018-01-10,21946021
TRK00226,Bright Memories,BTS,Album 40,Indie,307386,98,0.091,0.111,100.0,2022-08-11,3078834
TRK00227,Endless Echoes,Dua Lipa,Album 24,Latin,145495,82,0.443,0.58,178.8,2018-09-13,25545323
TRK00228,Golden Love,Bad Bunny,Album 2,Country,184553,33,0.143,0.212,147.8,2019-12-02,26343404
TRK00229,Silent Rain,Coldplay,Album 50,Indie,301449,59,0.309,0.941,169.6,2019-10-19,357271
TRK00230,Silent Hearts,Olivia Rodrigo,Album 24,Pop,169254,34,0.969,0.212,103.2,2022-12-15,289677
TRK00231,Silent Shadows,SZA,Album 47,Hip-Hop,248301,90,0.151,0.252,134.7,2017-04-18,17523847
TRK00232,Endless Love,Dua Lipa,Album 50,Country,335758,89,0.068,0.081,97.9,2022-09-22,509351
TRK00233,Golden Echoes,BTS,Album 2,Electronic,199687,0,0.838,0.443,119.1,2022-12-15,17185001
TRK00234,Silent Fire,Ariana Grande,Album 35,Latin,216202,63,0.896,0.833,103.5,2021-12-29,10057767
TRK00235,Electric Fire,SZA,Album 49,Hip-Hop,318103,57,0.202,0.877,115.0,2021-12-01,608876
TRK00236,Dark Dreams,Coldplay,Album 1,Rock,317415,71,0.105,0.891,131.4,2018-06-04,22222724
TRK00237,Lost Rain,Imagine Dragons,Album 50,Indie,140559,41,0.352,0.265,191.7,2020-11-15,35732655
TRK00238,Wild Nights,Travis Scott,Album 17,Electronic,238410,2,0.573,0.223,194.3,2017-11-12,31906735
TRK00239,Endless Fire,BTS,Album 27,Electronic,264332,76,0.234,0.405,167.6,2022-05-27,49195592
